"Year","Company","Country","Index"
"2019","Saga plc","United Kingdom",0.0288717781953047
"2019","INTERTEK GROUP PLC","United Kingdom",0.0152969014960118
"2019","JSE LIMITED","South Africa",0.0146249715408664
"2019","RICARDO PLC","United Kingdom",0.00665663944171483
"2019","ASX LIMITED","Australia",0.00601169011354519
"2019","BOLSA MEXICANA DE VALORES SAB DE CV","Mexico",0.00444616772640661
"2019","EXPERIAN PLC","United Kingdom",0.00203735978485177
"2019","LONDON STOCK EXCHANGE GROUP PLC","United Kingdom",0.00190453601522024
"2019","PAGEGROUP PLC","United Kingdom",0.000789782497979979
"2019","CAPITA PLC","United Kingdom",-0.159619907464446
"2019","KAP INDUSTRIAL HOLDINGS LTD","South Africa",0.182448389420545
"2019","HOSKEN CONSOLIDATED INVESTMENTS LIMITED","South Africa",0.133381910313114
"2019","REMGRO LIMITED","South Africa",0.111826020459237
"2019","GRUPO KUO SAB DE CV","Mexico",0.0993574755888645
"2019","3M COMPANY","United States",0.0640818374632533
"2019","NISSHINBO HOLDINGS INCORPORATED","Japan",0.0409644634655315
"2019","REUNERT LTD","South Africa",0.0359636475952505
"2019","HONEYWELL INTERNATIONAL INCORPORATED","United States",0.0173008678821883
"2019","TOSHIBA CORPORATION","Japan",0.0112026807509938
"2019","GENERAL ELECTRIC COMPANY","United States",0.00902196249151074
"2019","SMITHS GROUP PLC","United Kingdom",0.00586539717255676
"2019","SOUTHWEST AIRLINES CO.","United States",0.305601616326074
"2019","ALASKA AIR GROUP INCORPORATED","United States",0.300695819014329
"2019","AMERICAN AIRLINES GROUP INC","United States",0.285313432727292
"2019","DELTA AIR LINES INC","United States",0.259491471157027
"2019","ROYAL MAIL PLC","United Kingdom",0.0137888103858388
"2019","AIR PRODUCTS AND CHEMICALS, INC.","United States",1.08727976857427
"2019","TOKUYAMA CORPORATION","Japan",0.603858182134467
"2019","LINDE PLC","United Kingdom",0.415388148303676
"2019","AFRICAN OXYGEN LTD","South Africa",0.3676970761153
"2019","TAIYO NIPPON SANSO CORPORATION","Japan",0.207690930022073
"2019","MINERALS TECHNOLOGIES INC.","United States",0.170263767183221
"2019","KRATON CORP","United States",0.166028338911215
"2019","CELANESE CORPORATION","United States",0.147322720034647
"2019","W. R. GRACE & CO","United States",0.147030683227413
"2019","AECI LIMITED","South Africa",0.131982197019264
"2019","KIMBERLY-CLARK DE MEXICO S.A.B. DE C.V.","Mexico",0.12660856496146
"2019","SHIN-ETSU CHEMICAL CO LIMITED","Japan",0.116329717013772
"2019","KIMBERLY-CLARK CORPORATION","United States",0.114833731928089
"2019","DUPONT DE NEMOURS INC","United States",0.106901407097904
"2019","INGEVITY CORP","United States",0.104509367147487
"2019","JSR CORPORATION","Japan",0.101784952741395
"2019","AIR WATER INCORPORATED","Japan",0.0774100146414118
"2019","SANYO CHEMICAL INDUSTRIES LIMITED","Japan",0.0697231356020282
"2019","SYNTHOMER PLC","United Kingdom",0.0509541538175734
"2019","HITACHI CHEMICAL CO LTD","Japan",0.0465648714950765
"2019","NIPPON KAYAKU CO LTD","Japan",0.0369334247533019
"2019","CRODA INTERNATIONAL PLC","United Kingdom",0.0337266605730236
"2019","VICTREX PLC","United Kingdom",0.0305687393741931
"2019","PROCTER & GAMBLE CO","United States",0.0257410091538632
"2019","PPG INDUSTRIES, INC.","United States",0.0249232649356612
"2019","INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED","United States",0.0189436375666949
"2019","ECOLAB INC.","United States",0.0172421164067084
"2019","AXALTA COATING SYSTEMS LTD","United States",0.0126788673066249
"2019","PENNON GROUP PLC","United Kingdom",0.273367488568872
"2019","SEVERN TRENT PLC","United Kingdom",0.0478589975596545
"2019","UNITED UTILITIES GROUP PLC","United Kingdom",0.0407062640375817
"2019","FOSTER ELECTRIC COMPANY, LIMITED","Japan",0.0176959983359228
"2019","SHARP CORPORATION","Japan",0.0158161376793736
"2019","NIKON CORPORATION","Japan",0.0113999168861856
"2019","PANASONIC CORPORATION","Japan",0.0100700498659099
"2019","EOH HOLDINGS LIMITED","South Africa",0.00928504263519343
"2019","FUJITSU LIMITED","Japan",0.00831093783321867
"2019","MICROSOFT CORPORATION","United States",0.00720560429625038
"2019","SONY CORPORATION","Japan",0.00521783116880402
"2019","Cadence Design Systems, Inc.","United States",0.00475103840421596
"2019","VIRTUSA CORPORATION","United States",0.00459716484550295
"2019","ORACLE CORPORATION","United States",0.0043347303665465
"2019","ITOCHU TECHNO-SOLUTIONS CORPORATION","Japan",0.00429796775897301
"2019","AMDOCS LTD","United States",0.00429789647629892
"2019","INTERNATIONAL BUSINESS MACHINES CORPORATION","United States",0.00424999024706714
"2019","CASIO COMPUTER COMPANY LIMITED","Japan",0.00401135525573696
"2019","NTT DATA CORPORATION","Japan",0.00350756766039207
"2019","Fidelity National Information Services, Inc.","United States",0.0029676336961947
"2019","AVEVA GROUP PLC","United Kingdom",0.00291975389726126
"2019","PTC Inc.","United States",0.00269795721217586
"2019","VITEC GROUP PLC","United Kingdom",0.00244081478741128
"2019","STEEL CONNECT INC","United States",0.00242287685585255
"2019","TERADATA CORPORATION","United States",0.00237984424512685
"2019","SDL PLC","United Kingdom",0.00236483293398233
"2019","SOPHOS GROUP PLC","United Kingdom",0.00209794784449892
"2019","SALESFORCE.COM, INC.","United States",0.00207498569566804
